Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	OGMS:0000099	IAO:0000115	TODO@en	
ERROR	duplicate_definition	OGMS:0000100	IAO:0000115	TODO@en	
ERROR	duplicate_definition	OGMS:0000101	IAO:0000115	TODO@en	
ERROR	duplicate_definition	OMRSE:00000012	IAO:0000115	TO DO@pt	
ERROR	duplicate_definition	OMRSE:00000098	IAO:0000115	TO DO@pt	
ERROR	duplicate_definition	OMRSE:00000100	IAO:0000115	TO DO@pt	
ERROR	duplicate_definition	OMRSE:00000133	IAO:0000115	TO DO@pt	
ERROR	duplicate_definition	OBI:0000299	IAO:0000115	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.@en	
ERROR	duplicate_definition	OBI:0000312	IAO:0000115	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.@en	
ERROR	duplicate_definition	OBI:0000293	IAO:0000115	A relation between a planned process and a continuant participating in that process that is not created during  the process. The presence of the continuant during the process is explicitly specified in the plan specification which the process realizes the concretization of.@en	
ERROR	duplicate_definition	OBI:0000295	IAO:0000115	A relation between a planned process and a continuant participating in that process that is not created during  the process. The presence of the continuant during the process is explicitly specified in the plan specification which the process realizes the concretization of.@en	
ERROR	multiple_equivalent_classes	http://transformunify.org/ontologies/TURBO_0010347	owl:equivalentClass	051d7f6e3642d9eb0984302fae95993f	
ERROR	multiple_equivalent_classes	http://transformunify.org/ontologies/TURBO_0010347	owl:equivalentClass	b95bfe843addb473333cdee9cebb147a	
ERROR	multiple_equivalent_classes	http://transformunify.org/ontologies/TURBO_0010351	owl:equivalentClass	a0e0161331f7759e6431fbe8506b904e	
ERROR	multiple_equivalent_classes	http://transformunify.org/ontologies/TURBO_0010351	owl:equivalentClass	e748ecac5228e2e789e10e8510f3316b	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000580	http://transformunify.org/ontologies/TURBO_0006510	2^^http://www.w3.org/2001/XMLSchema#integer	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000581	http://transformunify.org/ontologies/TURBO_0006510	1^^http://www.w3.org/2001/XMLSchema#integer	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000582	http://transformunify.org/ontologies/TURBO_0006510	0^^http://www.w3.org/2001/XMLSchema#integer	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000590	http://transformunify.org/ontologies/TURBO_0006510	2^^http://www.w3.org/2001/XMLSchema#integer	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000591	http://transformunify.org/ontologies/TURBO_0006510	1^^http://www.w3.org/2001/XMLSchema#integer	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000592	http://transformunify.org/ontologies/TURBO_0006510	0^^http://www.w3.org/2001/XMLSchema#integer	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000601	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0000602	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000601	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0000603	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000601	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0000604	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000601	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0000605	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000601	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0000606	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000601	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0000607	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000601	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0000608	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000601	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0000609	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000601	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0000610	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000601	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0000611	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000601	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0000612	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000601	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0000613	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000601	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0000614	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000601	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0000615	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0000601	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0000616	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0003600	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0003603	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0003600	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0003608	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0003600	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0003609	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0003600	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0003610	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0006510	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0006511	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0006510	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0006512	
ERROR	deprecated_property_reference	http://transformunify.org/ontologies/TURBO_0006510	rdfs:subPropertyOf	http://transformunify.org/ontologies/TURBO_0006513	
ERROR	missing_label	oboInOwl:ObsoleteProperty	rdfs:label		
ERROR	deprecated_class_reference	FOODON:03411347	rdfs:subClassOf	FOODON:03411276	
ERROR	deprecated_class_reference	FOODON:03411347	rdfs:subClassOf	FOODON:03411324	
ERROR	deprecated_class_reference	GO:0005623	rdfs:subClassOf	CL:0000003	
ERROR	deprecated_class_reference	GO:0005623	rdfs:subClassOf	CL:0000578	
ERROR	deprecated_class_reference	GO:0005623	rdfs:subClassOf	CL:0001061	
ERROR	deprecated_class_reference	http://www.ebi.ac.uk/efo/EFO_0003166	rdfs:subClassOf	ERO:0002087	
ERROR	deprecated_class_reference	http://www.ebi.ac.uk/efo/EFO_0003166	rdfs:subClassOf	ERO:0002090	
ERROR	missing_ontology_description	https://raw.githubusercontent.com/PennTURBO/Turbo-Ontology/master/ontologies/turbo_merged.owl	dc11:description		
ERROR	duplicate_label	UO:0000190	rdfs:label	ratio	
ERROR	duplicate_label	UO:0010006	rdfs:label	ratio	
